,Customer_ID,Age,Gender,Country,Purchase_Amount,Purchase_Date,Product_Category,Satisfaction_Score,Churn
42,9433,41,Male,Germany,325.47,2023-11-05,Beauty,3,0
43,8513,54,Male,Canada,2833.93,2022-11-25,Beauty,5,1
44,3612,35,Other,Germany,1213.66,2022-07-08,Beauty,3,1
45,8041,43,Female,India,1939.36,2022-09-01,Beauty,3,1
46,10555,41,Female,India,4002.56,2021-06-25,Sports,5,0
47,7235,33,Male,USA,864.59,2024-05-23,Home,3,0
48,6486,25,Other,UK,1197.59,2023-06-09,Beauty,2,0
49,8099,41,Other,Canada,4149.35,2024-09-07,Sports,2,0
50,10670,30,Male,USA,2210.19,2022-02-28,Sports,5,0
51,1775,46,Female,USA,4052.16,2020-02-02,Home,4,1
52,9226,49,Other,USA,1559.62,2021-08-03,Electronics,4,1
53,4152,41,Female,Canada,1691.03,2020-12-17,Home,5,1
54,2585,33,Male,Australia,419.26,2020-09-11,Sports,5,1
55,4943,28,Female,Canada,4539.9,2022-12-09,Home,3,1
56,8555,49,Male,Germany,4432.31,2022-11-12,Clothing,5,1
57,4073,23,Other,UK,4913.19,2023-07-01,Home,2,0
58,2021,52,Male,Canada,1713.46,2023-11-18,Beauty,5,1
59,4843,50,Male,Canada,4002.38,2024-08-26,Beauty,4,0
60,8989,35,Male,Germany,1782.25,2020-09-29,Home,3,1
61,10692,54,Male,India,1998.64,2021-11-23,Home,4,0
62,7873,30,Male,USA,4065.0,2020-09-06,Sports,3,1
63,6675,27,Other,Canada,475.52,2023-06-14,Home,4,1
64,1161,54,Male,Canada,711.71,2022-06-22,Home,3,0
65,5297,43,Male,India,1231.01,2020-08-19,Clothing,1,0
66,1995,63,Female,India,3834.98,2021-03-03,Clothing,3,1
67,8629,34,Male,USA,1549.58,2022-08-14,Electronics,3,1
68,10467,18,Other,Germany,1469.93,2021-09-25,Clothing,5,1
69,2016,42,Female,Australia,4993.49,2020-08-29,Sports,3,1
70,8869,51,Male,Canada,1610.93,2020-05-13,Electronics,1,1
71,7439,56,Male,India,862.74,2022-12-30,Home,1,1
72,8892,27,Male,Canada,2927.68,2024-01-28,Clothing,5,0
73,7863,37,Male,USA,3910.34,2023-12-15,Clothing,4,1
74,8916,24,Male,Australia,117.16,2023-08-26,Home,2,1
75,9529,33,Female,USA,2903.91,2022-10-20,Home,5,1
76,1878,54,Other,UK,303.45,2023-07-26,Beauty,3,0
77,10268,46,Female,Canada,2394.83,2020-08-06,Electronics,4,1
78,5887,29,Male,India,913.45,2021-11-27,Electronics,3,1
79,5859,34,Female,Germany,1186.53,2020-11-02,Clothing,3,1
80,7331,41,Male,Canada,2069.03,2020-11-09,Home,3,0
81,9571,37,Female,India,4599.09,2023-11-27,Beauty,5,1
82,9684,43,Female,Germany,3408.67,2022-07-11,Sports,4,1
83,8208,41,Other,India,4652.65,2024-10-18,Electronics,5,0
84,6276,36,Male,India,3129.84,2024-02-20,Electronics,2,1
85,3062,64,Female,Germany,460.91,2024-12-21,Electronics,1,0
86,1064,29,Female,Australia,960.72,2023-11-29,Home,2,1
87,9006,38,Male,Canada,4481.75,2023-11-03,Home,5,0
88,3568,59,Other,India,3038.95,2020-10-07,Sports,4,0
89,6463,51,Female,USA,4899.06,2024-07-18,Electronics,5,0
90,3027,24,Female,India,357.8,2024-09-10,Home,4,0
91,3695,62,Male,Canada,1132.11,2023-09-12,Beauty,3,0
92,10687,52,Male,India,1493.02,2020-02-04,Electronics,3,0
93,6258,32,Male,UK,1296.07,2020-03-10,Home,4,0
94,6618,18,Male,USA,885.95,2020-12-25,Home,5,1
95,7736,43,Other,Canada,1939.06,2024-09-09,Electronics,4,1
96,1391,52,Female,USA,3032.64,2021-02-11,Electronics,5,0
97,6892,42,Male,USA,1211.91,2024-05-03,Sports,4,1
98,4561,59,Male,Germany,61.65,2021-08-02,Electronics,5,1
99,7184,32,Male,India,3396.93,2021-06-02,Sports,1,1
100,4099,39,Male,Germany,2024.59,2021-08-28,Home,2,1
101,7278,23,Female,Canada,2560.65,2023-11-08,Electronics,5,1
102,9392,32,Female,USA,2004.7,2020-03-21,Clothing,4,1
103,4104,41,Male,Australia,4396.97,2024-01-01,Electronics,2,1
104,8215,38,Male,Germany,2573.1,2020-09-06,Home,2,0
105,3454,24,Female,Australia,4578.02,2022-11-27,Home,3,0
106,9996,46,Female,Canada,2308.16,2020-02-14,Clothing,1,0
107,3731,49,Male,Canada,1109.23,2023-10-14,Electronics,2,1
108,9154,49,Other,Canada,1454.93,2020-05-16,Electronics,3,1
109,10762,22,Male,Canada,2371.71,2022-04-02,Home,5,1
110,6056,21,Male,UK,2414.94,2022-09-05,Clothing,5,1
111,9110,39,Male,Canada,3280.36,2022-03-30,Home,5,1
112,4840,35,Female,UK,734.72,2024-01-24,Home,3,1
113,2028,52,Female,UK,3123.64,2021-01-01,Clothing,3,0
114,8385,34,Female,Canada,3782.23,2023-08-21,Home,5,0
115,1502,41,Other,Australia,3221.26,2020-08-16,Beauty,5,1
116,7910,41,Male,Canada,2150.05,2020-07-01,Electronics,5,0
117,10062,41,Female,India,4954.24,2021-04-11,Sports,3,1
118,7938,19,Male,USA,1726.47,2022-04-17,Beauty,1,0
119,5488,30,Female,Germany,86.25,2020-07-22,Home,1,1
120,1206,32,Female,India,4018.27,2022-09-01,Clothing,3,1
121,6134,22,Female,Australia,667.11,2021-09-14,Sports,3,1
122,6977,20,Female,Australia,3423.07,2022-12-27,Clothing,3,1
123,8721,54,Male,India,484.37,2022-05-18,Electronics,4,0
124,8035,54,Female,Germany,407.17,2021-07-03,Clothing,2,1
125,2484,54,Male,Australia,378.89,2024-09-29,Electronics,3,1
126,8858,20,Male,UK,1573.44,2023-08-21,Home,5,1
127,1863,52,Male,Canada,86.4,2021-08-26,Electronics,3,1
128,3790,40,Female,USA,587.23,2024-12-04,Electronics,5,0
129,8408,45,Female,UK,3705.44,2022-01-24,Home,3,0
130,9755,47,Male,Canada,3734.36,2021-09-19,Electronics,3,0
131,6116,35,Other,Australia,3996.19,2022-10-12,Electronics,2,1
132,7019,53,Male,UK,4126.35,2020-04-04,Clothing,4,1
133,2757,50,Male,USA,1812.4,2024-10-14,Electronics,5,1
134,8574,43,Male,Canada,4271.52,2023-06-23,Beauty,1,0
135,7374,41,Female,Canada,2392.65,2021-11-15,Home,5,0
136,7892,57,Male,India,2088.28,2022-03-07,Electronics,5,0
137,2678,34,Male,UK,3451.95,2023-01-07,Clothing,3,1
138,4242,57,Other,India,676.0,2023-12-27,Clothing,3,1
139,5636,24,Male,Canada,3842.24,2023-07-27,Beauty,1,0
140,2059,25,Male,Canada,1862.06,2024-08-11,Clothing,3,1
141,7668,48,Female,Germany,200.12,2021-01-03,Sports,5,0
142,10914,29,Male,UK,156.22,2020-10-05,Sports,2,1
143,4157,41,Female,Canada,406.99,2020-12-16,Home,1,1
144,6915,48,Female,India,4398.15,2023-06-03,Home,4,1
145,10789,61,Other,India,4950.16,2021-02-09,Electronics,1,0
146,3693,36,Male,USA,1463.36,2021-03-21,Electronics,5,1
147,4627,27,Male,India,1106.79,2020-11-18,Home,5,0
148,10555,56,Male,Germany,703.24,2021-09-21,Beauty,2,1
149,6450,29,Other,Canada,4030.99,2020-03-13,Beauty,3,0
150,2663,37,Female,Canada,650.64,2021-06-01,Electronics,3,1
151,10721,54,Female,India,4582.5,2023-09-06,Home,5,1
152,6592,41,Female,UK,3170.43,2020-01-22,Clothing,4,1
153,8392,58,Male,USA,4434.2,2020-06-27,Home,5,0
154,2306,24,Male,India,2547.05,2021-12-08,Electronics,2,0
155,7776,31,Male,Canada,3298.74,2023-02-06,Home,5,1
156,6864,28,Female,UK,2907.02,2023-10-27,Home,4,1
157,10474,24,Male,USA,4071.58,2024-09-16,Home,3,1
158,8526,46,Female,India,4097.23,2024-01-19,Electronics,1,1
159,9901,27,Female,India,2743.86,2024-05-09,Sports,3,0
160,6575,46,Female,Australia,2978.79,2023-06-06,Electronics,4,1
161,6530,26,Female,India,4570.32,2022-07-26,Beauty,3,1
162,5413,53,Female,Germany,4614.27,2022-10-15,Beauty,2,0
163,4748,41,Male,Australia,3153.37,2022-08-05,Home,5,1
164,1663,27,Male,India,457.35,2021-06-14,Home,3,0
165,2998,36,Male,Canada,74.26,2020-12-29,Electronics,3,1
166,8994,48,Female,Germany,4218.68,2021-02-28,Electronics,4,1
167,2495,34,Other,Canada,34.07,2022-08-16,Beauty,4,1
168,4304,26,Female,Canada,674.36,2023-05-24,Home,4,0
169,4763,62,Female,Australia,768.01,2022-12-07,Home,5,0
170,6232,50,Male,India,2801.29,2024-01-28,Home,3,0
171,2853,51,Other,India,2671.48,2021-11-02,Electronics,3,1
172,7585,62,Female,Canada,1091.8,2023-07-20,Beauty,2,1
173,2291,41,Male,UK,641.86,2024-06-19,Electronics,2,1
174,4581,26,Male,Australia,3704.93,2022-11-19,Electronics,1,0
175,8554,24,Other,Germany,4645.01,2024-07-14,Beauty,5,0
176,8280,33,Male,Canada,209.57,2022-10-09,Electronics,4,1
177,2636,36,Male,India,232.49,2022-05-28,Electronics,2,1
178,4696,56,Male,Germany,3031.9,2022-08-04,Electronics,1,1
179,1698,23,Other,Australia,3924.43,2022-09-14,Electronics,1,0
180,5737,41,Female,USA,3851.54,2023-04-28,Electronics,3,0
181,1854,28,Other,UK,3458.26,2020-05-31,Home,5,0
182,9164,29,Male,India,4380.85,2023-10-31,Beauty,5,1
183,6855,59,Other,Germany,695.42,2020-09-11,Electronics,3,1
184,8392,30,Male,India,90.1,2021-12-03,Sports,4,1
185,7528,29,Male,Canada,2884.5,2021-10-15,Home,5,0
186,6249,38,Other,Canada,4022.52,2022-01-27,Electronics,3,1
187,6172,27,Female,India,2701.24,2022-11-23,Electronics,4,1
188,2707,37,Male,Canada,4796.49,2020-07-05,Electronics,5,0
189,6791,41,Female,Australia,3875.6,2022-05-28,Electronics,3,1
190,10925,53,Male,USA,3354.35,2024-01-12,Home,3,0
191,6535,45,Female,USA,168.58,2023-01-14,Clothing,1,1
192,5931,41,Male,USA,92.58,2021-11-03,Electronics,5,0
193,4510,22,Female,Canada,3816.61,2022-05-25,Sports,5,1
194,1202,54,Male,USA,590.31,2020-04-27,Home,5,0
195,5218,29,Female,UK,341.41,2024-07-04,Home,3,0
196,9958,52,Male,USA,4509.18,2022-12-17,Electronics,2,0
197,5389,57,Male,Australia,4399.43,2022-11-07,Beauty,4,0
198,3327,19,Male,India,701.66,2022-05-20,Beauty,2,1
199,9004,41,Male,Germany,3791.13,2023-03-09,Electronics,1,0
200,3931,58,Female,Canada,236.11,2021-04-02,Beauty,2,1
201,8777,62,Male,UK,1067.82,2021-12-06,Electronics,5,0
202,1197,56,Male,India,2930.17,2021-10-03,Home,5,0
203,8125,59,Male,UK,3697.48,2022-08-23,Electronics,1,0
204,2930,26,Male,Canada,442.8,2020-07-30,Sports,4,1
205,7287,39,Male,USA,1294.15,2021-04-30,Beauty,3,1
206,9800,64,Male,India,678.9,2024-12-24,Clothing,5,0
207,10339,22,Other,India,4993.29,2023-02-17,Clothing,5,0
208,5282,29,Female,India,3190.4,2022-06-09,Sports,1,1
209,3511,18,Male,Canada,1731.19,2024-04-26,Beauty,4,0
210,10986,61,Other,USA,83.91,2022-10-23,Electronics,3,1
211,1659,39,Male,India,2792.69,2023-06-06,Beauty,3,1
212,3811,55,Male,Canada,3029.36,2023-06-06,Home,2,1
213,8098,36,Other,Germany,3990.23,2022-09-28,Electronics,2,1
214,7546,33,Female,Canada,1087.17,2022-09-11,Beauty,1,0
215,10561,48,Female,Canada,4897.85,2020-12-08,Clothing,5,1
216,2986,20,Other,USA,1917.06,2023-03-10,Home,3,1
217,9338,40,Female,Germany,1127.69,2022-12-16,Electronics,5,1
218,3911,59,Female,Canada,1416.47,2023-05-24,Sports,3,1
219,2734,35,Female,USA,2357.72,2024-07-24,Electronics,3,1
220,2843,43,Male,UK,4651.86,2023-02-11,Home,2,0
221,9680,30,Female,USA,3543.37,2024-09-22,Electronics,4,1
222,3976,35,Male,USA,2674.1,2024-11-13,Home,3,1
223,2959,20,Other,UK,395.46,2020-10-20,Sports,3,1
224,6759,40,Female,Canada,321.44,2020-01-28,Home,1,0
225,7694,20,Female,USA,2262.08,2024-04-10,Home,3,1
226,3385,42,Female,India,3507.9,2024-06-07,Home,1,1
227,5736,44,Female,Germany,3630.57,2022-05-08,Home,3,0
228,2802,61,Female,India,742.53,2023-09-06,Home,4,1
229,9155,44,Male,India,50.55,2024-10-03,Electronics,2,0
230,9120,56,Female,Canada,1614.54,2021-07-26,Electronics,2,1
231,7616,42,Female,Australia,4549.95,2024-09-16,Sports,4,1
232,6534,41,Male,India,2499.52,2024-11-16,Sports,2,0
233,5061,25,Male,Australia,1260.55,2024-03-16,Electronics,3,1
234,1262,26,Male,Canada,1280.01,2022-07-16,Home,5,1
235,7287,63,Female,Germany,226.48,2024-11-13,Home,5,1
236,9815,54,Female,Canada,2102.73,2022-11-21,Sports,4,1
237,10208,47,Other,USA,3852.49,2024-11-05,Electronics,5,1
238,3049,36,Male,Canada,4827.07,2023-12-05,Electronics,5,0
239,6423,33,Female,USA,2258.77,2021-01-31,Beauty,3,1
240,5548,41,Female,Australia,419.68,2022-11-06,Electronics,3,1
241,4108,61,Female,UK,3256.23,2021-08-23,Sports,2,1
242,8158,38,Female,USA,3662.35,2022-12-11,Electronics,3,0
243,8400,53,Female,India,105.65,2021-01-04,Home,3,1
244,4170,57,Male,Germany,4175.77,2020-06-12,Electronics,4,0
245,10874,56,Female,USA,4061.27,2023-08-19,Home,3,1
246,3255,64,Male,UK,2098.98,2021-03-25,Beauty,3,0
247,2154,23,Male,Canada,2582.32,2021-06-27,Sports,5,0
248,5499,22,Female,Canada,3423.74,2021-12-10,Home,5,0
249,7295,31,Male,Canada,3222.11,2024-03-05,Clothing,3,1
250,7197,62,Female,Canada,409.05,2020-12-16,Home,3,1
251,10888,59,Male,USA,173.39,2021-01-13,Home,5,0
252,2648,41,Male,USA,394.25,2024-01-02,Electronics,1,0
253,6539,21,Female,India,3656.22,2020-07-19,Home,3,1
254,10637,25,Male,India,1920.46,2023-02-04,Electronics,5,1
255,5199,41,Male,USA,2500.26,2021-05-19,Home,2,0
256,9445,28,Female,USA,3749.78,2022-10-08,Clothing,5,1
257,3557,34,Female,India,1375.4,2023-11-08,Sports,2,1
258,6592,41,Female,Germany,3618.9,2023-08-12,Clothing,2,1
259,1098,38,Female,Canada,1932.65,2022-11-17,Electronics,5,0
260,3200,43,Male,USA,1574.49,2020-12-02,Sports,2,1
261,3961,60,Male,UK,1331.7,2020-10-13,Home,3,1
262,5973,41,Other,Australia,4807.2,2021-09-22,Electronics,5,1
263,5433,61,Female,UK,3745.85,2023-09-28,Electronics,3,1
264,3869,62,Male,Germany,388.92,2022-11-20,Electronics,5,1
265,1956,44,Other,Canada,4765.79,2021-10-27,Beauty,2,1
266,9352,33,Other,Canada,3764.92,2024-11-30,Clothing,4,0
267,6699,43,Male,Canada,320.46,2024-02-19,Home,4,0
268,7944,50,Male,India,80.14,2024-06-30,Sports,1,1
269,5493,48,Male,Canada,1195.07,2023-06-28,Clothing,3,0
270,10492,41,Male,USA,2933.0,2023-10-18,Sports,1,0
271,5911,64,Other,India,2891.01,2020-04-16,Clothing,3,1
272,4987,23,Male,USA,1017.18,2021-05-20,Home,3,1
273,10719,61,Male,Canada,1951.21,2024-01-05,Sports,3,0
274,7015,25,Male,Canada,665.4,2020-04-26,Sports,3,1
275,2218,24,Female,Canada,221.82,2023-06-22,Beauty,5,0
276,5496,51,Female,India,2343.34,2020-03-19,Electronics,3,0
277,5735,61,Male,Australia,1408.45,2022-01-10,Clothing,5,1
278,5555,31,Female,Canada,2485.85,2024-02-18,Home,1,0
279,10146,33,Female,USA,4705.79,2020-01-23,Home,2,0
280,9050,60,Male,USA,288.54,2023-05-05,Beauty,5,0
281,4446,26,Male,USA,489.21,2020-12-26,Beauty,3,1
282,2045,27,Male,Australia,77.17,2021-11-30,Electronics,2,1
283,7893,34,Male,Australia,2044.9,2023-12-21,Home,2,0
284,2693,29,Other,UK,3388.13,2020-08-04,Home,1,1
285,4436,23,Male,India,2694.2,2022-09-16,Home,5,0
286,9754,36,Male,India,2221.92,2024-11-17,Electronics,4,0
287,6895,60,Female,Canada,1446.8,2024-08-16,Clothing,3,0
288,4354,58,Other,Canada,1204.86,2021-12-07,Sports,4,1
289,1225,46,Other,USA,1569.57,2021-09-19,Electronics,5,1
290,5893,23,Female,Canada,2863.99,2023-05-04,Sports,4,1
291,8022,42,Male,Canada,422.65,2021-07-20,Beauty,3,1
292,10151,41,Female,India,3742.49,2024-09-06,Sports,1,1
293,6600,42,Female,USA,2663.89,2021-03-18,Clothing,2,1
294,8996,33,Male,Canada,980.36,2024-01-22,Electronics,1,0
295,10007,33,Male,India,2256.34,2021-04-03,Clothing,5,1
296,8683,23,Female,UK,4795.28,2024-02-16,Electronics,3,0
297,5642,54,Male,India,387.3,2020-05-23,Sports,5,1
298,8679,38,Male,USA,597.37,2020-11-09,Sports,5,1
299,9208,21,Female,UK,1966.09,2022-05-24,Electronics,5,1
300,8339,51,Male,Canada,3011.42,2021-12-29,Electronics,5,1
301,10435,45,Male,USA,667.26,2023-07-04,Clothing,2,0
302,3205,55,Male,Germany,4622.72,2021-09-30,Sports,5,1
303,2069,58,Male,USA,3034.15,2021-04-18,Home,3,1
304,4444,45,Male,Canada,4325.88,2021-11-15,Electronics,5,0
305,2060,34,Male,UK,1311.25,2021-08-28,Electronics,5,1
306,3327,31,Female,Australia,4059.25,2024-03-02,Home,3,1
307,4420,24,Male,USA,1580.21,2022-06-20,Electronics,3,0
308,1301,39,Other,India,890.13,2023-05-27,Electronics,2,1
309,1606,18,Male,Canada,4514.1,2024-05-06,Electronics,5,1
310,4170,46,Male,India,7.2,2024-04-03,Electronics,5,1
311,1699,48,Female,India,4685.89,2023-10-13,Sports,3,1
312,6088,47,Female,Canada,2021.83,2023-06-14,Beauty,1,0
313,10331,32,Other,Canada,4959.44,2024-09-02,Home,5,1
314,1190,35,Other,Australia,2467.77,2020-10-01,Home,5,1
315,1980,52,Female,USA,3666.18,2024-08-22,Beauty,1,0
316,3975,41,Male,USA,461.11,2022-01-21,Beauty,5,1
317,7102,47,Male,Germany,2231.67,2024-05-19,Sports,5,0
318,2184,51,Other,Germany,3555.99,2020-08-04,Electronics,5,1
319,4327,59,Female,Canada,3805.55,2024-05-01,Electronics,3,0
320,4394,28,Male,India,369.27,2023-11-21,Sports,5,0
321,9319,44,Male,India,1804.34,2023-01-02,Sports,5,0
322,2816,41,Male,Germany,1804.9,2021-11-06,Electronics,3,0
323,6854,52,Female,Canada,70.02,2021-12-10,Clothing,5,1
324,7709,56,Female,USA,1936.75,2022-07-11,Electronics,3,0
325,1569,25,Male,UK,3939.01,2023-09-13,Home,4,1
326,6442,35,Male,Australia,1150.99,2021-02-11,Clothing,2,1
327,2895,30,Other,Canada,1879.16,2020-05-27,Beauty,2,0
328,3733,62,Female,USA,4785.27,2023-01-14,Home,1,0
329,4863,41,Male,India,325.61,2024-03-24,Electronics,3,0
330,8455,40,Other,India,2753.37,2021-05-17,Electronics,5,1
331,5014,29,Male,India,3588.9,2024-11-23,Electronics,2,0
332,2686,41,Female,Canada,3684.85,2020-08-19,Sports,1,1
333,4009,47,Male,India,3437.66,2021-05-12,Sports,1,1
334,8806,48,Male,USA,3495.48,2021-02-26,Home,1,0
335,1154,45,Male,Australia,175.43,2024-01-30,Sports,2,1
336,2409,39,Other,USA,2437.75,2020-09-03,Electronics,4,0
337,1784,61,Male,UK,3806.33,2023-10-25,Electronics,1,1
338,9096,45,Female,India,17.36,2024-03-16,Home,5,0
339,8560,30,Other,UK,433.73,2024-12-07,Sports,4,1
340,8343,42,Male,India,3980.09,2020-04-14,Electronics,4,1
341,8206,61,Female,Canada,3417.62,2020-08-21,Electronics,5,1
342,6596,63,Male,Germany,1767.14,2024-01-21,Beauty,2,1
343,6801,24,Female,USA,4672.18,2023-07-04,Clothing,2,1
344,3806,62,Male,USA,3716.29,2021-04-19,Electronics,5,0
345,1537,23,Other,India,4823.24,2024-06-04,Electronics,3,1
346,6986,41,Male,Canada,4611.23,2024-07-16,Electronics,5,0
347,2841,36,Other,Canada,2147.11,2022-09-30,Sports,2,1
348,9716,36,Male,USA,3650.9,2023-04-10,Home,3,1
349,7971,53,Female,USA,3180.55,2023-07-20,Clothing,1,1
350,6625,26,Female,USA,3962.95,2022-01-28,Clothing,2,0
351,3950,41,Male,Australia,3832.29,2022-05-24,Sports,2,0
352,8992,53,Female,UK,342.78,2023-05-02,Home,5,0
353,5780,55,Female,USA,785.55,2020-04-21,Electronics,5,0
354,3368,57,Female,Canada,961.52,2020-01-23,Sports,1,1
355,7655,46,Male,USA,4001.74,2022-07-25,Home,3,0
356,9173,41,Male,Australia,3959.08,2020-11-10,Electronics,3,0
357,5495,41,Male,UK,2224.34,2020-07-20,Home,3,1
358,10163,22,Male,Canada,2694.58,2024-03-04,Sports,1,0
359,7002,59,Other,USA,4048.07,2021-09-09,Beauty,3,0
360,7614,62,Other,Australia,1219.26,2021-08-28,Home,4,1
361,10358,43,Female,India,224.02,2022-09-21,Home,5,0
362,6919,31,Male,USA,2154.28,2020-01-25,Electronics,4,0
363,1853,56,Female,Germany,4525.44,2021-10-18,Home,3,1
364,5146,46,Male,USA,3847.58,2024-03-11,Clothing,3,1
365,4769,23,Male,UK,1516.4,2023-10-21,Electronics,2,0
366,1574,24,Female,USA,143.76,2021-06-14,Sports,2,1
367,2148,54,Other,Canada,3003.06,2024-10-11,Home,2,1
368,7293,35,Male,Australia,4089.7,2024-06-05,Home,3,0
369,7457,40,Male,Germany,3157.22,2020-02-15,Electronics,4,1
370,8509,61,Male,USA,1837.91,2022-11-24,Electronics,3,1
371,10907,55,Male,India,178.44,2020-07-20,Sports,3,0
372,5777,18,Male,India,4509.26,2024-04-07,Electronics,4,1
373,4854,21,Male,Canada,1017.77,2020-12-30,Electronics,3,0
374,3491,61,Female,Canada,733.58,2021-04-14,Electronics,2,1
375,4124,64,Male,Germany,3987.87,2023-08-16,Electronics,5,1
376,6691,52,Male,Australia,4896.71,2022-02-15,Electronics,3,0
377,4051,40,Male,USA,3130.88,2021-02-19,Electronics,3,0
378,1004,44,Male,USA,2936.46,2023-10-01,Electronics,4,1
379,6222,43,Male,Canada,1256.87,2023-10-04,Clothing,3,0
380,6315,25,Female,India,387.73,2021-11-29,Electronics,5,1
381,5869,60,Female,India,554.89,2022-03-20,Beauty,5,0
382,1876,33,Male,Canada,2714.37,2020-07-08,Clothing,5,1
383,10183,58,Male,India,332.24,2023-11-27,Home,3,0
384,8027,20,Female,Canada,4361.1,2024-11-10,Electronics,5,0
385,5142,49,Male,Canada,534.8,2020-12-14,Home,1,1
386,7966,22,Male,Canada,2371.57,2021-01-07,Clothing,5,1
387,8079,37,Female,India,2316.07,2024-07-20,Electronics,3,0
388,8987,31,Female,UK,2821.7,2024-03-08,Beauty,5,1
389,7799,49,Female,India,1300.89,2023-08-07,Home,3,1
390,5465,43,Male,Germany,4304.44,2022-09-11,Beauty,5,1
391,1635,64,Female,USA,1943.66,2022-09-13,Electronics,1,0
392,2693,23,Male,UK,3350.84,2020-04-20,Beauty,1,1
393,10874,53,Male,India,2997.51,2024-04-27,Electronics,5,1
394,5752,57,Male,USA,144.36,2024-03-06,Home,2,1
395,9311,22,Other,Canada,2924.52,2023-08-17,Sports,5,0
396,1830,30,Female,Australia,2528.86,2021-10-07,Electronics,4,1
397,6177,49,Other,Canada,4442.32,2022-11-02,Clothing,2,1
398,10561,33,Other,Germany,4344.82,2021-06-06,Electronics,3,1
399,9932,18,Female,Canada,330.25,2023-01-30,Beauty,1,0
400,9308,30,Other,India,50.73,2020-07-15,Clothing,2,0
401,6949,28,Male,Canada,1120.26,2023-11-15,Clothing,1,1
402,3838,25,Male,Canada,4926.37,2020-02-24,Electronics,1,1
403,2150,42,Female,Canada,381.34,2020-07-01,Electronics,1,1
404,8560,57,Female,UK,3200.91,2022-11-08,Sports,4,1
405,2931,49,Male,USA,2846.83,2020-12-28,Electronics,4,1
406,10204,41,Male,UK,3056.18,2024-12-02,Electronics,3,0
407,2664,45,Female,Australia,700.57,2021-04-17,Home,3,1
408,2081,31,Female,Canada,746.95,2020-01-09,Electronics,4,1
409,1512,62,Female,USA,1868.53,2021-10-21,Clothing,3,1
410,8805,20,Other,UK,27.22,2020-01-25,Sports,1,1
411,6237,53,Other,India,89.63,2023-08-22,Beauty,3,1
412,1559,44,Other,Canada,14.02,2024-05-26,Home,5,1
413,4672,37,Other,Canada,2651.39,2023-12-28,Home,3,0
414,8404,64,Male,UK,1687.58,2023-12-16,Electronics,2,0
415,4343,32,Other,USA,1114.89,2022-12-16,Home,5,0
