Customer_ID,Age,Gender,Country,Purchase_Amount,Purchase_Date,Product_Category,Satisfaction_Score,Churn
5297,43,,Ind,1231.01,2020-08-19 00:00:00,Clothing,1,No
1995,63,Female,Ind,3834.98,2021-03-03 00:00:00,Clothing,3,Yes
8629,34,,U.S.A,1549.58,2022-08-14 00:00:00,Elec,3,1
10467,18,Other,Germany,1469.93,2021-09-25 00:00:00,Clothing,10,Yes
2016,42,Female,Australia,4993.49,2020-08-29 00:00:00,Sports,3,Yes
8869,51,M,Canada,1610.93,2020-05-13 00:00:00,Elec,1,Yes
7439,56,M,India,862.74,2022-12-30 00:00:00,Home,1,
8892,27,M,,2927.68,2024-01-28 00:00:00,Clothing,10,0
7863,37,M,USA,3910.34,2023-12-15 00:00:00,Clothing,4,Yes
8916,24,M,Australia,-117.16,2023-08-26 00:00:00,Home,2,1
9529,33,F,U.S.A,2903.91,2022-10-20 00:00:00,Home,10,
1878,54,Other,UK,-303.45,2023-07-26 00:00:00,Beauty,,0
10268,46,Female,Canada,2394.83,2020-08-06 00:00:00,Electronics,4,1
5887,29,M,Ind,913.45,2021-11-27 00:00:00,Electronics,3,
5859,34,F,Germany,1186.53,2020-11-02 00:00:00,Clothing,3,
7331,,,Canada,2069.03,2020-11-09 00:00:00,Home,,0
9571,37,F,India,4599.09,2023-11-27 00:00:00,Beauty,10,Yes
9684,43,F,Germany,3408.67,2022-07-11 00:00:00,Sports,4,1
8208,,Other,Ind,4652.65,2024-10-18 00:00:00,Electronics,5,No
6276,36,M,Ind,3129.84,2024-02-20 00:00:00,Elec,2,Yes
3062,64,F,Germany,-460.91,2024-12-21 00:00:00,Electronics,1,No
1064,29,F,Australia,960.72,2023-11-29 00:00:00,Home,2,1
9006,38,M,Canada,4481.75,2023-11-03 00:00:00,,5,No
3568,59,Other,India,3038.95,2020-10-07 00:00:00,Sports,4,No
6463,51,F,U.S.A,4899.06,2024-07-18 00:00:00,Electronics,10,0
3027,24,Female,Ind,357.8,2024-09-10 00:00:00,,4,0
3695,62,Male,Canada,1132.11,2023-09-12 00:00:00,Beauty,3,0
10687,52,,Ind,1493.02,2020-02-04 00:00:00,Electronics,,No
6258,32,Male,UK,1296.07,2020-03-10 00:00:00,Home,4,No
6618,18,Male,U.S.A,885.95,2020-12-25 00:00:00,Home,5,
7736,43,Other,Canada,1939.06,2024-09-09 00:00:00,Elec,4,
1391,52,F,USA,3032.64,2021-02-11 00:00:00,Elec,10,0
6892,42,Male,USA,1211.91,2024-05-03 00:00:00,Sports,4,
4561,59,Male,Germany,-61.65,2021-08-02 00:00:00,Electronics,5,Yes
7184,32,,Ind,3396.93,2021-06-02 00:00:00,Sports,1,
4099,39,M,Germany,2024.59,2021-08-28 00:00:00,,2,
7278,23,F,,2560.65,2023-11-08 00:00:00,Electronics,10,Yes
9392,32,F,USA,2004.7,2020-03-21 00:00:00,Clothing,4,Yes
4104,41,,Australia,4396.97,2024-01-01 00:00:00,Electronics,2,1
8215,38,M,Germany,2573.1,2020-09-06 00:00:00,Home,2,No
3454,24,F,Australia,4578.02,2022-11-27 00:00:00,Home,3,No
9996,46,Female,,2308.16,2020-02-14 00:00:00,Clothing,1,0
3731,49,,,1109.23,2023-10-14 00:00:00,Electronics,2,1
9154,49,Other,,1454.93,2020-05-16 00:00:00,Electronics,3,1
10762,22,M,,2371.71,2022-04-02 00:00:00,Home,5,1
6056,21,,UK,2414.94,2022-09-05 00:00:00,Clothing,5,1
9110,39,Male,,3280.36,2022-03-30 00:00:00,Home,5,
4840,35,F,UK,734.72,2024-01-24 00:00:00,,,1
2028,52,Female,UK,3123.64,2021-01-01 00:00:00,Clothing,,0
8385,34,Female,Canada,3782.23,2023-08-21 00:00:00,Home,10,No
1502,200,Other,Australia,3221.26,2020-08-16 00:00:00,Beauty,5,1
7910,200,,,2150.05,2020-07-01 00:00:00,Electronics,5,No
10062,41,Female,India,4954.24,2021-04-11 00:00:00,Sports,3,Yes
7938,19,,U.S.A,1726.47,2022-04-17 00:00:00,Beauty,1,0
5488,30,F,Germany,86.25,2020-07-22 00:00:00,Home,1,Yes
1206,32,F,Ind,4018.27,2022-09-01 00:00:00,Clothing,3,1
6134,22,Female,Australia,667.11,2021-09-14 00:00:00,Sports,3,
6977,20,F,Australia,3423.07,2022-12-27 00:00:00,Clothing,,
8721,54,,Ind,484.37,2022-05-18 00:00:00,Elec,4,0
8035,54,F,Germany,-407.17,2021-07-03 00:00:00,Clothing,2,1
2484,54,Male,Australia,378.89,2024-09-29 00:00:00,Elec,,1
8858,20,,UK,1573.44,2023-08-21 00:00:00,,10,1
1863,52,M,Canada,86.4,2021-08-26 00:00:00,Elec,,1
3790,40,F,USA,587.23,2024-12-04 00:00:00,Electronics,5,0
8408,45,F,UK,3705.44,2022-01-24 00:00:00,Home,,0
9755,47,,,3734.36,2021-09-19 00:00:00,Electronics,,0
6116,35,Other,Australia,3996.19,2022-10-12 00:00:00,Elec,2,
7019,53,M,UK,4126.35,2020-04-04 00:00:00,Clothing,4,1
2757,50,M,USA,1812.4,2024-10-14 00:00:00,Electronics,10,Yes
8574,43,M,Canada,4271.52,2023-06-23 00:00:00,Beauty,1,No
7374,,Female,Canada,2392.65,2021-11-15 00:00:00,,10,0
7892,57,Male,India,2088.28,2022-03-07 00:00:00,Elec,5,0
2678,34,Male,UK,3451.95,2023-01-07 00:00:00,Clothing,,
4242,57,Other,Ind,676.0,2023-12-27 00:00:00,Clothing,,
5636,24,M,,3842.24,2023-07-27 00:00:00,Beauty,1,No
2059,25,M,Canada,1862.06,2024-08-11 00:00:00,Clothing,3,
7668,48,F,Germany,200.12,2021-01-03 00:00:00,Sports,10,0
10914,29,,UK,156.22,2020-10-05 00:00:00,Sports,2,1
4157,,Female,,406.99,2020-12-16 00:00:00,Home,1,1
6915,48,Female,Ind,4398.15,2023-06-03 00:00:00,Home,4,
10789,61,Other,Ind,4950.16,2021-02-09 00:00:00,Electronics,1,No
3693,36,Male,U.S.A,1463.36,2021-03-21 00:00:00,Electronics,5,1
4627,27,M,India,1106.79,2020-11-18 00:00:00,,5,0
10555,56,,Germany,703.24,2021-09-21 00:00:00,Beauty,2,1
6450,29,Other,Canada,4030.99,2020-03-13 00:00:00,Beauty,3,No
2663,37,Female,Canada,650.64,2021-06-01 00:00:00,Elec,,
10721,54,Female,India,4582.5,2023-09-06 00:00:00,,5,Yes
6592,,Female,UK,3170.43,2020-01-22 00:00:00,Clothing,4,1
8392,58,M,USA,4434.2,2020-06-27 00:00:00,Home,10,0
2306,24,M,Ind,2547.05,2021-12-08 00:00:00,Elec,2,No
7776,31,M,Canada,3298.74,2023-02-06 00:00:00,Home,5,1
6864,28,F,UK,2907.02,2023-10-27 00:00:00,Home,4,Yes
10474,24,Male,U.S.A,4071.58,2024-09-16 00:00:00,Home,,
8526,46,Female,India,4097.23,2024-01-19 00:00:00,Electronics,1,1
9901,27,Female,India,2743.86,2024-05-09 00:00:00,Sports,,No
6575,46,F,Australia,2978.79,2023-06-06 00:00:00,Elec,4,1
6530,26,Female,India,4570.32,2022-07-26 00:00:00,Beauty,,
5413,53,Female,Germany,4614.27,2022-10-15 00:00:00,Beauty,2,No
4748,,M,Australia,3153.37,2022-08-05 00:00:00,Home,5,Yes
1663,27,M,India,-457.35,2021-06-14 00:00:00,Home,3,0
2998,36,Male,,74.26,2020-12-29 00:00:00,Electronics,3,
8994,48,Female,Germany,4218.68,2021-02-28 00:00:00,Electronics,4,1
2495,34,Other,,-34.07,2022-08-16 00:00:00,Beauty,4,Yes
4304,26,Female,,674.36,2023-05-24 00:00:00,Home,4,No
4763,62,Female,Australia,768.01,2022-12-07 00:00:00,Home,5,No
6232,50,Male,Ind,2801.29,2024-01-28 00:00:00,,3,No
2853,51,Other,India,2671.48,2021-11-02 00:00:00,Elec,3,1
7585,62,Female,Canada,1091.8,2023-07-20 00:00:00,Beauty,2,
2291,41,,UK,641.86,2024-06-19 00:00:00,Electronics,2,Yes
4581,26,,Australia,3704.93,2022-11-19 00:00:00,Elec,1,No
8554,24,Other,Germany,4645.01,2024-07-14 00:00:00,Beauty,5,0
8280,33,,,-209.57,2022-10-09 00:00:00,Electronics,4,
2636,36,M,Ind,232.49,2022-05-28 00:00:00,Electronics,2,Yes
4696,56,M,Germany,3031.9,2022-08-04 00:00:00,Elec,1,Yes
1698,23,Other,Australia,3924.43,2022-09-14 00:00:00,Elec,1,No
5737,200,Female,USA,3851.54,2023-04-28 00:00:00,Electronics,3,0
1854,28,Other,UK,3458.26,2020-05-31 00:00:00,Home,5,No
9164,29,,Ind,4380.85,2023-10-31 00:00:00,Beauty,5,
6855,59,Other,Germany,695.42,2020-09-11 00:00:00,Electronics,,1
8392,30,,Ind,90.1,2021-12-03 00:00:00,Sports,4,
7528,29,M,,2884.5,2021-10-15 00:00:00,,5,0
6249,38,Other,Canada,4022.52,2022-01-27 00:00:00,Electronics,,1
6172,27,F,India,2701.24,2022-11-23 00:00:00,Electronics,4,Yes
2707,37,,Canada,4796.49,2020-07-05 00:00:00,Elec,5,No
6791,200,F,Australia,3875.6,2022-05-28 00:00:00,Electronics,3,
10925,53,M,USA,3354.35,2024-01-12 00:00:00,,,No
6535,45,Female,U.S.A,-168.58,2023-01-14 00:00:00,Clothing,1,
5931,41,,USA,92.58,2021-11-03 00:00:00,Elec,5,No
4510,22,Female,,3816.61,2022-05-25 00:00:00,Sports,10,1
1202,54,M,USA,590.31,2020-04-27 00:00:00,Home,5,No
5218,29,Female,UK,-341.41,2024-07-04 00:00:00,,3,0
9958,52,,U.S.A,4509.18,2022-12-17 00:00:00,Elec,2,0
5389,57,Male,Australia,4399.43,2022-11-07 00:00:00,Beauty,4,No
3327,19,,India,701.66,2022-05-20 00:00:00,Beauty,2,Yes
9004,200,,Germany,3791.13,2023-03-09 00:00:00,Elec,1,0
3931,58,F,Canada,-236.11,2021-04-02 00:00:00,Beauty,2,
8777,62,Male,UK,1067.82,2021-12-06 00:00:00,Elec,10,No
1197,56,Male,India,2930.17,2021-10-03 00:00:00,Home,10,No
8125,59,Male,UK,3697.48,2022-08-23 00:00:00,Electronics,1,0
2930,26,,,-442.8,2020-07-30 00:00:00,Sports,4,Yes
7287,39,M,USA,1294.15,2021-04-30 00:00:00,Beauty,3,
9800,64,Male,India,678.9,2024-12-24 00:00:00,Clothing,10,0
10339,22,Other,Ind,4993.29,2023-02-17 00:00:00,Clothing,10,0
5282,29,Female,Ind,3190.4,2022-06-09 00:00:00,Sports,1,1
3511,18,M,Canada,1731.19,2024-04-26 00:00:00,Beauty,4,0
10986,61,Other,USA,-83.91,2022-10-23 00:00:00,Electronics,,
1659,39,,India,2792.69,2023-06-06 00:00:00,Beauty,3,1
3811,55,,Canada,3029.36,2023-06-06 00:00:00,,2,Yes
8098,36,Other,Germany,3990.23,2022-09-28 00:00:00,Electronics,2,Yes
7546,33,F,,1087.17,2022-09-11 00:00:00,Beauty,1,0
10561,48,F,Canada,4897.85,2020-12-08 00:00:00,Clothing,5,
2986,20,Other,USA,1917.06,2023-03-10 00:00:00,Home,,Yes
9338,40,F,Germany,1127.69,2022-12-16 00:00:00,Elec,5,
3911,59,Female,,1416.47,2023-05-24 00:00:00,Sports,,
2734,35,Female,U.S.A,2357.72,2024-07-24 00:00:00,Electronics,3,1
2843,43,,UK,4651.86,2023-02-11 00:00:00,Home,2,0
9680,30,F,U.S.A,3543.37,2024-09-22 00:00:00,Electronics,4,
3976,35,Male,USA,2674.1,2024-11-13 00:00:00,,,
2959,20,Other,UK,395.46,2020-10-20 00:00:00,Sports,3,
6759,40,Female,Canada,321.44,2020-01-28 00:00:00,,1,0
7694,20,F,U.S.A,2262.08,2024-04-10 00:00:00,,,1
3385,42,F,India,3507.9,2024-06-07 00:00:00,Home,1,
5736,44,Female,Germany,3630.57,2022-05-08 00:00:00,,3,No
2802,61,Female,India,742.53,2023-09-06 00:00:00,Home,4,1
9155,44,Male,India,50.55,2024-10-03 00:00:00,Elec,2,0
9120,56,F,Canada,1614.54,2021-07-26 00:00:00,Elec,2,Yes
7616,42,F,Australia,4549.95,2024-09-16 00:00:00,Sports,4,
6534,41,M,India,2499.52,2024-11-16 00:00:00,Sports,2,No
5061,25,,Australia,1260.55,2024-03-16 00:00:00,Electronics,,Yes
1262,26,Male,Canada,1280.01,2022-07-16 00:00:00,,5,Yes
7287,63,Female,Germany,226.48,2024-11-13 00:00:00,Home,5,
9815,54,Female,Canada,2102.73,2022-11-21 00:00:00,Sports,4,
10208,47,Other,U.S.A,3852.49,2024-11-05 00:00:00,Elec,10,Yes
3049,36,,,4827.07,2023-12-05 00:00:00,Electronics,5,No
6423,33,Female,USA,2258.77,2021-01-31 00:00:00,Beauty,,1
5548,41,F,Australia,419.68,2022-11-06 00:00:00,Elec,3,
4108,61,Female,UK,3256.23,2021-08-23 00:00:00,Sports,2,
8158,38,F,USA,3662.35,2022-12-11 00:00:00,Elec,,0
8400,53,F,India,-105.65,2021-01-04 00:00:00,,3,
4170,57,Male,Germany,4175.77,2020-06-12 00:00:00,Elec,4,0
10874,56,Female,U.S.A,4061.27,2023-08-19 00:00:00,Home,,Yes
3255,64,Male,UK,2098.98,2021-03-25 00:00:00,Beauty,,No
2154,23,,Canada,2582.32,2021-06-27 00:00:00,Sports,10,0
5499,22,F,Canada,3423.74,2021-12-10 00:00:00,,5,0
7295,31,,Canada,3222.11,2024-03-05 00:00:00,Clothing,3,1
7197,62,Female,,-409.05,2020-12-16 00:00:00,Home,3,Yes
10888,59,,U.S.A,173.39,2021-01-13 00:00:00,,10,0
2648,200,,U.S.A,394.25,2024-01-02 00:00:00,Elec,1,0
6539,21,Female,India,3656.22,2020-07-19 00:00:00,Home,3,Yes
10637,25,Male,India,1920.46,2023-02-04 00:00:00,Electronics,5,
5199,41,Male,USA,2500.26,2021-05-19 00:00:00,,2,No
9445,28,F,U.S.A,3749.78,2022-10-08 00:00:00,Clothing,10,Yes
3557,34,F,India,1375.4,2023-11-08 00:00:00,Sports,2,1
6592,200,Female,Germany,3618.9,2023-08-12 00:00:00,Clothing,2,1
1098,38,Female,,1932.65,2022-11-17 00:00:00,Elec,5,No
3200,43,M,USA,1574.49,2020-12-02 00:00:00,Sports,2,1
3961,60,M,UK,1331.7,2020-10-13 00:00:00,,,Yes
5973,,Other,Australia,4807.2,2021-09-22 00:00:00,Electronics,10,
5433,61,F,UK,3745.85,2023-09-28 00:00:00,Elec,,1
3869,62,,Germany,-388.92,2022-11-20 00:00:00,Elec,10,Yes
1956,44,Other,,4765.79,2021-10-27 00:00:00,Beauty,2,1
9352,33,Other,,3764.92,2024-11-30 00:00:00,Clothing,4,0
6699,43,Male,Canada,320.46,2024-02-19 00:00:00,Home,4,0
7944,50,,Ind,-80.14,2024-06-30 00:00:00,Sports,1,
5493,48,Male,,1195.07,2023-06-28 00:00:00,Clothing,,0
10492,,M,U.S.A,2933.0,2023-10-18 00:00:00,Sports,1,0
5911,64,Other,Ind,2891.01,2020-04-16 00:00:00,Clothing,3,1
4987,23,M,U.S.A,1017.18,2021-05-20 00:00:00,Home,3,1
10719,61,,Canada,1951.21,2024-01-05 00:00:00,Sports,,No
7015,25,,Canada,665.4,2020-04-26 00:00:00,Sports,,
2218,24,F,Canada,-221.82,2023-06-22 00:00:00,Beauty,10,0
5496,51,Female,India,2343.34,2020-03-19 00:00:00,Electronics,3,No
5735,61,Male,Australia,1408.45,2022-01-10 00:00:00,Clothing,10,1
5555,31,F,Canada,2485.85,2024-02-18 00:00:00,Home,1,No
10146,33,F,U.S.A,4705.79,2020-01-23 00:00:00,,2,0
9050,60,Male,U.S.A,288.54,2023-05-05 00:00:00,Beauty,10,No
4446,26,Male,USA,-489.21,2020-12-26 00:00:00,Beauty,3,Yes
2045,27,,Australia,-77.17,2021-11-30 00:00:00,Electronics,2,
7893,34,,Australia,2044.9,2023-12-21 00:00:00,,2,0
2693,29,Other,UK,3388.13,2020-08-04 00:00:00,Home,1,Yes
4436,23,M,India,2694.2,2022-09-16 00:00:00,,10,No
9754,36,,Ind,2221.92,2024-11-17 00:00:00,Elec,4,0
6895,60,F,Canada,1446.8,2024-08-16 00:00:00,Clothing,,No
4354,58,Other,Canada,1204.86,2021-12-07 00:00:00,Sports,4,
1225,46,Other,U.S.A,1569.57,2021-09-19 00:00:00,Electronics,5,
5893,23,F,Canada,2863.99,2023-05-04 00:00:00,Sports,4,1
8022,42,,Canada,422.65,2021-07-20 00:00:00,Beauty,3,Yes
10151,41,F,India,3742.49,2024-09-06 00:00:00,Sports,1,
6600,42,Female,USA,2663.89,2021-03-18 00:00:00,Clothing,2,Yes
8996,33,,Canada,980.36,2024-01-22 00:00:00,Elec,1,No
10007,33,M,Ind,2256.34,2021-04-03 00:00:00,Clothing,10,Yes
8683,23,F,UK,4795.28,2024-02-16 00:00:00,Elec,,0
5642,54,,India,-387.3,2020-05-23 00:00:00,Sports,10,1
8679,38,Male,USA,597.37,2020-11-09 00:00:00,Sports,5,Yes
9208,21,Female,UK,1966.09,2022-05-24 00:00:00,Electronics,5,Yes
8339,51,M,,3011.42,2021-12-29 00:00:00,Elec,5,
10435,45,,U.S.A,667.26,2023-07-04 00:00:00,Clothing,2,0
3205,55,Male,Germany,4622.72,2021-09-30 00:00:00,Sports,5,
2069,58,,U.S.A,3034.15,2021-04-18 00:00:00,Home,,Yes
4444,45,Male,,4325.88,2021-11-15 00:00:00,Electronics,5,No
2060,34,M,UK,1311.25,2021-08-28 00:00:00,Electronics,5,
3327,31,Female,Australia,4059.25,2024-03-02 00:00:00,,,
4420,24,Male,U.S.A,1580.21,2022-06-20 00:00:00,Electronics,,0
1301,39,Other,Ind,890.13,2023-05-27 00:00:00,Electronics,2,
1606,18,M,,4514.1,2024-05-06 00:00:00,Elec,10,
4170,46,M,Ind,7.2,2024-04-03 00:00:00,Elec,5,1
1699,48,F,India,4685.89,2023-10-13 00:00:00,Sports,3,Yes
6088,47,Female,,2021.83,2023-06-14 00:00:00,Beauty,1,0
10331,32,Other,Canada,4959.44,2024-09-02 00:00:00,,5,
1190,35,Other,Australia,2467.77,2020-10-01 00:00:00,Home,5,Yes
1980,52,F,USA,3666.18,2024-08-22 00:00:00,Beauty,1,0
3975,200,Male,USA,-461.11,2022-01-21 00:00:00,Beauty,10,
7102,47,Male,Germany,2231.67,2024-05-19 00:00:00,Sports,5,No
2184,51,Other,Germany,3555.99,2020-08-04 00:00:00,Electronics,10,1
4327,59,Female,Canada,3805.55,2024-05-01 00:00:00,Electronics,,0
4394,28,Male,Ind,369.27,2023-11-21 00:00:00,Sports,10,No
9319,44,M,India,1804.34,2023-01-02 00:00:00,Sports,5,0
2816,41,,Germany,1804.9,2021-11-06 00:00:00,Elec,3,0
6854,52,F,,70.02,2021-12-10 00:00:00,Clothing,10,1
7709,56,Female,U.S.A,1936.75,2022-07-11 00:00:00,Electronics,,No
1569,25,Male,UK,3939.01,2023-09-13 00:00:00,Home,4,
6442,35,,Australia,1150.99,2021-02-11 00:00:00,Clothing,2,Yes
2895,30,Other,,1879.16,2020-05-27 00:00:00,Beauty,2,No
3733,62,F,U.S.A,4785.27,2023-01-14 00:00:00,,1,0
4863,41,Male,Ind,-325.61,2024-03-24 00:00:00,Elec,3,No
8455,40,Other,Ind,2753.37,2021-05-17 00:00:00,Elec,10,Yes
5014,29,Male,India,3588.9,2024-11-23 00:00:00,Electronics,2,No
2686,-1,F,Canada,3684.85,2020-08-19 00:00:00,Sports,1,Yes
4009,47,M,Ind,3437.66,2021-05-12 00:00:00,Sports,1,1
8806,48,M,USA,3495.48,2021-02-26 00:00:00,,1,0
1154,45,,Australia,-175.43,2024-01-30 00:00:00,Sports,2,
2409,39,Other,USA,2437.75,2020-09-03 00:00:00,Electronics,4,No
1784,61,M,UK,3806.33,2023-10-25 00:00:00,Elec,1,1
9096,45,F,India,17.36,2024-03-16 00:00:00,Home,5,No
8560,30,Other,UK,-433.73,2024-12-07 00:00:00,Sports,4,1
8343,42,Male,Ind,3980.09,2020-04-14 00:00:00,Elec,4,Yes
8206,61,Female,Canada,3417.62,2020-08-21 00:00:00,Electronics,5,1
6596,63,Male,Germany,1767.14,2024-01-21 00:00:00,Beauty,2,Yes
6801,24,F,U.S.A,4672.18,2023-07-04 00:00:00,Clothing,2,1
3806,62,,U.S.A,3716.29,2021-04-19 00:00:00,Electronics,10,No
1537,23,Other,India,4823.24,2024-06-04 00:00:00,Electronics,3,
6986,41,Male,,4611.23,2024-07-16 00:00:00,Elec,10,0
2841,36,Other,,2147.11,2022-09-30 00:00:00,Sports,2,
9716,36,M,USA,3650.9,2023-04-10 00:00:00,,3,1
7971,53,Female,USA,3180.55,2023-07-20 00:00:00,Clothing,1,Yes
6625,26,F,U.S.A,3962.95,2022-01-28 00:00:00,Clothing,2,No
3950,,Male,Australia,3832.29,2022-05-24 00:00:00,Sports,2,0
8992,53,Female,UK,342.78,2023-05-02 00:00:00,Home,10,0
5780,55,F,USA,785.55,2020-04-21 00:00:00,Electronics,5,No
3368,57,F,Canada,961.52,2020-01-23 00:00:00,Sports,1,1
7655,46,,U.S.A,4001.74,2022-07-25 00:00:00,,,0
9173,41,M,Australia,3959.08,2020-11-10 00:00:00,Elec,,No
5495,,,UK,2224.34,2020-07-20 00:00:00,Home,3,1
10163,22,,,2694.58,2024-03-04 00:00:00,Sports,1,No
7002,59,Other,U.S.A,4048.07,2021-09-09 00:00:00,Beauty,,0
7614,62,Other,Australia,1219.26,2021-08-28 00:00:00,Home,4,
10358,43,Female,India,-224.02,2022-09-21 00:00:00,,5,0
6919,31,M,USA,2154.28,2020-01-25 00:00:00,Elec,4,0
1853,56,F,Germany,4525.44,2021-10-18 00:00:00,Home,,
5146,46,M,USA,3847.58,2024-03-11 00:00:00,Clothing,3,1
4769,23,M,UK,1516.4,2023-10-21 00:00:00,Electronics,2,No
1574,24,Female,U.S.A,-143.76,2021-06-14 00:00:00,Sports,2,1
2148,54,Other,,3003.06,2024-10-11 00:00:00,,2,1
7293,35,M,Australia,4089.7,2024-06-05 00:00:00,,3,No
7457,40,M,Germany,3157.22,2020-02-15 00:00:00,Elec,4,1
8509,61,M,USA,1837.91,2022-11-24 00:00:00,Elec,3,Yes
10907,55,Male,Ind,178.44,2020-07-20 00:00:00,Sports,3,0
5777,18,M,Ind,4509.26,2024-04-07 00:00:00,Electronics,4,Yes
4854,21,M,,1017.77,2020-12-30 00:00:00,Elec,,No
3491,61,F,Canada,733.58,2021-04-14 00:00:00,Elec,2,
4124,64,,Germany,3987.87,2023-08-16 00:00:00,Electronics,5,
6691,52,Male,Australia,4896.71,2022-02-15 00:00:00,Elec,3,No
4051,40,M,USA,3130.88,2021-02-19 00:00:00,Elec,3,No
1004,44,,USA,2936.46,2023-10-01 00:00:00,Elec,4,1
6222,43,M,,1256.87,2023-10-04 00:00:00,Clothing,,0
6315,25,Female,Ind,-387.73,2021-11-29 00:00:00,Electronics,10,Yes
